title,label
견다희의 Check EAT 맥도날드 맥윙 外,0
버거킹 드로잉의 달인 SNS 이벤트 진행,0
치킨윙 매니아 주목” 버거킹 치킨윙 사이드 신메뉴 바삭킹’ 출시,1
버거킹스크림몬스터x OK캐쉬백 오퀴즈 초성 퀴즈 정답은,0
버거킹 영국에서 플라스틱 장난감 지급 중단,-1
버거킹 올데이킹 리뉴얼 신메뉴 베이컨토마토비프버거’ 출시,1
버거킹단 7일간 인기스페셜버거3종50 반값’ 할인,1
버거킹 단품 와퍼 39 할인 판매,0
버거킹 신제품 비프칠리통모짜와퍼 출시,1
버거킹단 7일간 인기스페셜버거3종50 반값’ 할인,1
버거킹 단품 와퍼 39 할인 판매,0
버거킹 프리미엄 와퍼주니어 3종’ 할인 행사 실시,0
롯데 일본 버거킹 사업 정리1100억 손해보고 100억에 팔았다,0
신상품라운지버거킹 치킨윙 사이드 바삭킹 출시,1
버거킹 통모짜 3탄 비프칠리통모짜와퍼 2종 출시,1
롯데 日 버거킹 사업 매각구조조정 통해 수익성 개선,-1
버거킹 와퍼주니어 1900원매장방문 고객 대상 할인행사,0
3대 버거 브랜드 불사조 메뉴는 무엇,0
버거킹 치킨윙 사이드 신메뉴 바삭킹 출시,1
롯데 日 버거킹 사업 매각구조조정 통해 수익성 개선,-1
버거킹 와퍼 단품 3500원에 할인 판매 이벤트 진행,0
버거킹 인기 메뉴 프리미엄 와퍼주니어 3종’ 각 2900원에 맛보세요,1
버거킹 비프칠리통모짜와퍼 출시,1
버거킹 와퍼주니어 1900원매장방문 고객 대상 할인행사,0
3대 버거 브랜드 불사조 메뉴는 무엇,0
9월 버거킹올데이킹리뉴얼 신메뉴베이컨토마토비프버거’ 선봬,1
오늘 어디갈까 롯데리아 맥도날드 그리고 버거킹까지 10월 행사 알아보기,0
비트코인 채택 희소식독일 버거킹 BTC 결제 지원,0
3대 버거 브랜드 불사조 메뉴는 무엇,0
9월 버거킹올데이킹리뉴얼 신메뉴베이컨토마토비프버거’ 선봬,1
롯데 9년 만에 일본 버거킹 사업 매각,-1
오늘 어디갈까 롯데리아 맥도날드 그리고 버거킹까지 10월 행사 알아보기,0
비트코인 채택 희소식독일 버거킹 BTC 결제 지원,0
버거킹 신메뉴 바삭킹 출시3가지 디핑소스 선보여,1
버거킹 와퍼 3500원에 판매일주일 한정,0
버거킹 전국 금손들 위한 드로잉의 달인 이벤트 진행,0
버거킹 통모짜 시리즈’ 마지막 제품 2종 출시,1
버거킹 바삭킹 토스 행운 퀴즈 등장 3가지 소스로 더욱 맛있게’,0
버거킹 와퍼 단품 3500원 할인 판매,0
버거킹 바삭킹 토스 행운 퀴즈 등장 3가지 소스로 더욱 맛있게’,0
롯데 日 버거킹 매각인수 후 매년 100억 적자,-1
˝많이 맵다˝ ˝라이스치킨 식감˝버거킹 바삭킹 리뷰 톺아보기,0
버거킹 8일까지 인기 버거 3종 50 할인,1
버거킹 2019 KSPBI 패스트푸드 부문 1위,1
신상품 버거킹 비프칠리통모짜,1
버거킹 카톡 플친 대상 치킨버거 3종 세트업 쿠폰증정 프로모션 실시,0
가심비 버거버거킹 프리미엄 와퍼주니어 3종 2900원 할인 판매,0
버거킹 전국 드로잉의 달인을 찾아라,0
프리미엄 와퍼주니어 3종이 각 2900원 버거킹 프로모션,0
버거킹 매콤 바삭 치킨윙 사이드 신메뉴 바삭킹’ 출시,1
개강도 버거킹과 함께버거킹 7일 동안 인기 버거 반값 할인,1
프리미엄 햄버거 브랜드 버거킹 세트메뉴로 즐기는 치킨버거 프로모션 실시,0
버거킹 전국 드로잉의 달인을 찾아라,0
롯데 인수 9년 만에 일본 버거킹 매각,-1
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
오늘26일부터 버거킹 가면 육즙 팡팡 터지는 와퍼 단돈 3500원,0
MT리포트학자금대출 2천조 美도 골치깎아주고 안받고,0
LG디스플레이 불화수소 국산화 성공이달 적용 예정,0
롯데 日 버거킹 인수 9년만에 100억에 매각,-1
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
버거킹 신메뉴 바삭킹 출시디핑소스·딜리버리팩도 선보여,1
버거킹 일주일간 버거 3종 50 할인 진행,0
오늘26일부터 버거킹 가면 육즙 팡팡 터지는 와퍼 단돈 3500원,0
MT리포트학자금대출 2천조 美도 골치깎아주고 안받고,0
LG디스플레이 불화수소 국산화 성공이달 적용 예정,0
버거킹 한국표준협회 주관 2019 KSPBI 패스트푸드점 부문 1위 수상,1
버거킹 인기 메뉴 프리미엄 와퍼주니어 3종’ 판매 실시,1
버거킹 프리미엄 핫도그 한정 출시,1
버거킹 인기 스페셜 버거 3종 50 할인,1
버거킹 한국표준협회 주관 2019 KSPBI 패스트푸드점 부문 1위 수상,1
버거킹 인기 메뉴 프리미엄 와퍼주니어 3종’ 판매 실시,1
롯데 日 버거킹 사업 매각,-1
차원이 다른 바삭함···버거킹 바삭킹 전격 출시 가격은 얼마,1
버거킹 프리미엄 핫도그 한정 출시,1
롯데 日 버거킹 사업 철수외식사업 오점,0
버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트 진행,0
말이 안되는 가격버거킹 7일 동안 와퍼 3500원에 할인 판매,0
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위,1
롯데 日 버거킹 사업 철수외식사업 오점,0
버거킹 바삭킹 출시매콤·바삭한 치킨윙 사이드 메뉴,1
버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트 진행,0
버거킹 쟌슨빌과 손잡고 핫도그 2종 출시,1
말이 안되는 가격버거킹 7일 동안 와퍼 3500원에 할인 판매,0
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위,1
버거킹맥도날드 어린이 메뉴에 제공하는 플라스틱 장난감 퇴출,-1
롯데 日 버거킹 매각9년간 매년 100억 적자,-1
뉴스투데이 E 버거킹 프리미엄 와퍼주니어 3종 2900원에 판매,0
버거킹 사딸라 통했다올데이킹 누적 1천만 개 판매,0
롯데 日 버거킹 매각9년간 매년 100억 적자,-1
버거킹 다음달 1일까지 와퍼 단품 3500원’ 할인 이벤트,0
KFC보다 비싼 버거킹 바삭킹패스트푸드 닭날개 가성비 시험대,0
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
뉴스투데이 E 버거킹 프리미엄 와퍼주니어 3종 2900원에 판매,0
버거킹크라운 캠페인 감사 릴레이 이벤트 참여하면 다양한 경품이 팡팡,0
버거킹 사딸라 통했다올데이킹 누적 1천만 개 판매,0
버거킹 올데이킹 리뉴얼 및 베이컨토마토비프버거 선봬,0
신상품 동원FB 두툼 치즈 배스킨라빈스 허니레몬티 버거킹 바삭킹,1
버거킹 韓 함박웃음 vs 日 울상엇갈린 한·일 온도차 뚜렷,-1
롯데 일 버거킹 인수 9년만에 100억에 매각,-1
버거킹 와퍼주니어 3종단품 2900원 판매,0
버거킹 2019년 프리미엄브랜드지수 패스트푸드점 부문 1위,1
버거킹 韓 함박웃음 vs 日 울상엇갈린 한·일 온도차 뚜렷,-1
비프칠리 소스와 통모짜렐라 치즈의 만남버거킹 비프칠리통모짜와퍼 출시,1
영국 버거킹·맥도날드 플라스틱 장난감 제공 중단,-1
토스 버거킹 바삭킹 행운퀴즈 정답 공개···처음 느껴보는 바삭함,0
이번엔 핫도그다’ 버거킹 신메뉴 프리미엄 핫도그 2종 한정 출시,1
버거킹 세트 가격 4900원 올데이킹에 베이컨토마토비프버거 추가,0
버거킹 통모짜 시리즈 출시 3주 동안 100만개 판매,1
버거킹 바삭킹 토스 행운 퀴즈 등장정답은,0
버거킹 세트 가격 4900원 올데이킹에 베이컨토마토비프버거 추가,0
버거킹 통모짜 시리즈 출시 3주 동안 100만개 판매,1
버거킹 덕후들 깜짝 놀라게 만든 신상 사이드 메뉴가 나왔다,1
버거킹 7일간 와퍼 단품 3500원에 할인 판매,0
플라스틱 OUT 英 버거킹 장난감 녹이는 신규 캠페인 공개,0
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
광고랑 갭 쩌는 빈약한 실사로 출시 첫날부터 욕먹는 버거킹 핫도그 근황,1
英 버거킹 어린이 메뉴 구매 때 플라스틱 장난감 제공 중단,-1
버거킹 버거킹크라운 캠페인감사 릴레이 이벤트 진행,0
英 버거킹 어린이 메뉴 구매 때 플라스틱 장난감 제공 중단,-1
버거킹 바삭킹 토스 행운 퀴즈 □에 들어갈 정답은,0
버거킹 버거킹크라운 캠페인감사 릴레이 이벤트 진행,0
버거킹 프리미엄 와퍼 할인 프로모션 진행,0
버거킹 통모짜 시리즈’ 출시 3주만에 100만개 판매 돌파,1
지금 세계는 英 버거킹 플라스틱 장난감 제공 중단맥도날드도 동참,-1
버거킹 프리미엄 와퍼 할인 판매 실시,0
버거킹 바삭킹 출시 허브와 쌀가루의 조합’ 가격은,1
맥도날드 앞에서 버거킹 주문해봐”2019 부산국제광고제’ 그랑프리는,0
포커스 버거킹이 모짜렐라 치즈’에 꽂힌 사연,0
버거킹 바삭킹 토스 행운 퀴즈정답 공개,0
포커스 버거킹이 모짜렐라 치즈’에 꽂힌 사연,0
버거킹 통모짜와퍼 100만 소비자 울렸다100 이탈리아산 치즈는 왜 사라,0
롯데 100억원에 앓던 이 버거킹재팬 매각,-1
오늘12일 출시한 버거킹 핫도그 실제 후기 사진,1
버거킹x쟌슨빌 시즌 한정 스페셜 콜라보 진행,0
버거킹 16일부터 프리미어 와퍼 3종 3900원 판매 프로모션,0
버거킹 KSA 주관 프리미엄브랜드지수 시상식 패스트푸드점 부문 1위 수상,1
獨 버거킹 비트코인BTC 결제수단으로 추가,0
버거킹 와퍼 9월1일까지 단품 3500원매장방문 고객 대상,0
버거킹 와퍼 9월1일까지 단품 3500원매장방문 고객 대상,0
버거킹 카톡 플친 대상 몬스터X  몬스터와퍼 세트 업 쿠폰 증정,0
버거킹의 8월 이벤트 와퍼주니어’ 반값할인 1900원 판매 실시,0
버거킹 바삭킹 리뷰 속속생각보다 매콤 교촌 라이스치킨 연상,0
버거킹 가을 맞아 7일동안 프리미엄 와퍼 3종’ 3900원 판매,0
버거킹 콰트로치즈와퍼 할라피뇨와퍼 베이컨와퍼 단품이 7일 간 3900원,0
버거킹 카톡 플친 대상 치킨버거 3종 세트업 프로모션 진행,0
1등 버거버거킹 2019 프리미엄브랜드지수 패스트푸드 부문 1위 수상,1
이 맛에 통 못 자버거킹 통모짜 3주 만에 100만개 판매,0
버거킹 프리미엄 와퍼주니어 3종 각 2900원에 판매,0
이 맛에 통 못 자버거킹 통모짜 3주 만에 100만개 판매,0
뉴스투데이 E 버거킹 와퍼’ 7일 동안 3500원에 판매,0
버거킹 프리미엄 와퍼주니어 3종 각 2900원에 판매,0
버거킹 통모짜 시리즈 세 번째 비프칠리통모짜와퍼 출시,1
MT리포트공부한 죄로 금리 7 그렇게 신불자가 됐다,0
버거킹크라운 캠페인 감사 릴레이 이벤트에 시선 집중,0
역대급 콜라보”라는 말까지 듣고 있는 버거킹의 특별한 핫도그,0
버거킹 바삭킹 토스 행운퀴즈 등장빈칸넣기 정답은,0
버거킹 이탈리아산 치즈 강조했던 통모짜와퍼원산지 변경 논란,-1
버거킹 프리미엄 와퍼 3종3900원 할인판매,0
버거킹 이탈리아산 치즈 강조했던 통모짜와퍼원산지 변경 논란,-1
버거킹 통모짜’ 시리즈 출시 3주 만에 100만개 팔렸다,1
버거킹 프리미엄 와퍼 3종3900원 할인판매,0
NNA 롯데지주 일본 버거킹 매각,-1
버거킹에서 더위탈출” 버거킹 7일간 신메뉴 포함한 프리미엄 와퍼 3종 3,1
바르셀로나 노동위 버거킹 男넥타이·女리본 규정 성차별적,0
버거킹 쟌슨빌과 핫도그 2종 출시 정통 아메리칸 맛을 느껴보자’,1
버거킹 바삭킹 토스 행운퀴즈 정답은,0
버거킹 올데이킹 리뉴얼신메뉴 베이컨토마토비프버거 선봬,1
버거킹 신제품 트러플통모짜와퍼 선봬,1
버거킹 올데이킹 리뉴얼신메뉴 베이컨토마토비프버거 선봬,1
버거킹 신제품 트러플통모짜와퍼 선봬,1
버거킹 올데이킹 론칭 9개월간 누적 판매 1000만개,0
버거킹X쟌슨빌 시즌 한정 핫도그 출시,1
맥도날드도 식물성 고기 햄버거 시험판매 돌입”,0
버거킹 통모짜 시리즈’ 출시 3주만에 100만 개 판매 돌파,1
토스 버거킹 바삭킹 행운퀴즈 정답은,0
버거킹 차 안에서 만나는 통새우와퍼 2종 무료 세트업 이벤트,0
英 요식업계에도 플라스틱 프리 바람,0
버거킹 와퍼주니어 1900원 판매 실시방학의 마지막은 버거킹과,0
英 요식업계에도 플라스틱 프리 바람,0
버거킹 와퍼주니어 1900원 판매 실시방학의 마지막은 버거킹과,0
버거킹 트러플통모짜와퍼퍼트러플통모짜X 출시,1
버거킹 단 7일간 인기 스페셜 버거 3종 50 반값’ 할인,1
버거킹X쟌슨빌 시즌한정 스페셜 콜라보 진행 프리미엄 핫도그 출시,1
인증샷 남기면 경품이 쏟아진다 버거킹크라운 캠페인 감사 릴레이 이벤트 진,0
버거킹 마지막 늦더위도 잡는 시원한 할인 소식 단 일주일간 와퍼가 3500원,0
버거킹 바사삭 토스 행운퀴즈·깜짝퀴즈 정답은,0
버거킹 일주일간 프리미엄 와퍼 3종’ 3900원 판매,0
버거킹 8월 한 달간 통새우와퍼 2종 무료 세트업 이벤트 실시,0
버거킹넉넉하고풍성한 가을맞이 프리미엄 와퍼 3종’ 할인,0
버거킹 8월 한 달간 통새우와퍼 2종 무료 세트업 이벤트 실시,0
버거킹 8월 할인 프로모션 실시,0
버거킹 와퍼 7일간 3500원 판매,0
버거킹과 쟌슨빌의 콜라보 정통 아메리칸 스타일 핫도그 2종 한정 판매,0
버거킹·블랭크 에디션 그랑프리 영예 부산국제광고제 24일 폐막,0
버거킹 버거킹크라운 릴레이 이벤트 진행소비자 참여형 캠페인,0
롯데 日 버거킹 100억에 매각 9년간 매년 100억 적자,-1
뜨는 별 vs 지는 별햄버거 업계 춘추전국시대,0
버거킹 사딸라 통했다 올데이킹 누적 판매량 1천만 개 돌파,1
버거킹 사딸라 통했다 올데이킹 누적 판매량 1천만 개 돌파,1
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
버거킹 쟌슨빌 손잡고 신메뉴 프리미엄 핫도그 2종 한정 출시,1
버거킹 감사 릴레이 이벤트 진행,0
유통 신템’8월 3주 버거킹 쟌슨빌과 손잡고 핫도그 신메뉴 2종 한정 출,1
롯데 日 버거킹 매각 9년간 매년 100억 적자”,-1
성수기 8월 맞아 버거킹 등 국내 대표 햄버거 프랜차이즈 다양한 이벤트 선보,0
버거킹 넉넉하고 풍성한 가을 맞이 프리미엄 와퍼 3종 3900원 판매,0
토스 행운퀴즈 버거킹 바삭킹 계속 끌리는 매콤한 맛 □□□□ 소스 정답,0
프리미엄 햄버거 브랜드 버거킹 몬스터 시리즈 세트 업 쿠폰 이벤트 실시,0
버거킹 넉넉하고 풍성한 가을 맞이 프리미엄 와퍼 3종 3900원 판매,0
버거킹 핫도그 2종 출시쟌슨빌과 콜라보한 정통 미국식,1
토스 행운퀴즈 버거킹 바삭킹 계속 끌리는 매콤한 맛 □□□□ 소스 정답,0
프리미엄 햄버거 브랜드 버거킹 몬스터 시리즈 세트 업 쿠폰 이벤트 실시,0
버거킹 오는 25일까지 와퍼주니어 1900원 할인 행사 진행,0
버거킹 통모짜 와퍼 잘 팔리니 치즈 원산지 슬그머니 변경,0
버거킹 통모짜와퍼 출시,1
버거킹 올데이킹 사딸라 열풍 통해 누적 판매량 1천만 개 돌파,1
버거킹 트러플통모짜와퍼’ 출시,1
버거킹 바삭킹 왜 화제 2조각 2500원 4조각 5000원 구매 가능,0
버거킹 핫도그 2종 출시 깊은 스모크 향신제품 가격은,1
버거킹 바삭킹 왜 화제 2조각 2500원 4조각 5000원 구매 가능,0
버거킹 통모짜와퍼 3종 출시,1
버거킹 통모짜 시리즈 인기몰이출시 3주만에 100만개 돌파,1
버거킹 사딸라 올데이킹 누적 판매량 1000만 개 돌파,1
버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트 진행,0
신상품 대상 안주야 3종 한국야쿠르트 발휘 버거킹 핫도그,1
유통오늘 BBQ 극한매운왕갈비치킨 출시,1
동원참치신라면버거킹세대간 소통으로 회춘하는 장수식품,0
토스 행운퀴즈 버거킹 바삭킹 관련 문제 출제4문제 정답 모두 공개,-1
유통오늘 BBQ 극한매운왕갈비치킨 출시,1
동원참치신라면버거킹세대간 소통으로 회춘하는 장수식품,0
토스 행운퀴즈 버거킹 바삭킹 관련 문제 출제4문제 정답 모두 공개,-1
